City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Samarai,PG,85.87,broken clouds,-10.6167,150.6667,Nuli Sapi
572,Chimore,BO,78.71,overcast clouds,-16.9833,-65.1333,Bichito
574,Humaita,BR,73.74,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
576,Naze,JP,71.96,scattered clouds,28.3667,129.4833,Shishime Hotel
577,Port Blair,IN,80.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
581,Bouca,CF,69.42,overcast clouds,6.5105,18.2733,
583,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
586,Isangel,VU,83.44,scattered clouds,-19.55,169.2667,Tanna Lodge
594,Bacolod,PH,80.4,moderate rain,10.6667,122.95,Planta Hotel & Residences
596,Karratha,AU,78.21,broken clouds,-20.7377,116.8463,ibis Styles Karratha
597,Djougou,BJ,68.97,broken clouds,9.7085,1.666,Hôtel Gladenzo
599,Yulara,AU,85.41,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
600,Rancharia,BR,69.6,clear sky,-22.2292,-50.8931,Eros Motel
601,Lethem,GY,81.46,overcast clouds,3.3803,-59.7968,Savannah Inn
602,Mahibadhoo,MV,80.76,moderate rain,3.7833,72.9667,Omadhoo Inn
603,Buritizeiro,BR,74.12,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
605,Mae Sot,TH,77.52,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
609,Quatre Cocos,MU,69.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
610,Ambilobe,MG,70.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
611,Ternate,ID,84.88,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
612,High Rock,BS,73.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
613,Dire Dawa,ET,67.12,broken clouds,9.5931,41.8661,Samrat Hotel
615,Bosobolo,CD,71.62,overcast clouds,4.1833,19.9,
616,Kaya,BF,71.65,clear sky,13.0917,-1.0844,Maison de l'appelé
617,Murray Bridge,AU,73.13,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
619,Thakurganj,IN,67.33,clear sky,26.45,88.1333,Happy Nayak
626,Srirampur,IN,70.39,clear sky,22.9489,88.0189,Dipti Sarkar house ( Sriram pur)
627,Aloleng,PH,85.39,overcast clouds,16.1307,119.7824,Aloleng
629,Kasane,BW,71.94,clear sky,-17.8167,25.15,The Old House
630,Malinyi,TZ,70.36,broken clouds,-8.9333,36.1333,d.light malinyi Ec
632,Bilma,NE,66.34,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
636,Maigo,PH,81.75,overcast clouds,8.1613,123.9583,Claro M. Recto
639,Savelugu,GH,74.17,clear sky,9.6244,-0.8253,Yoo Naa's Palace
642,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
643,Kaeo,NZ,76.32,clear sky,-35.1,173.7833,Bushido Lodge
644,Dingle,PH,79.57,light rain,10.9995,122.6711,SEGAYA PROPERTY
646,Puerto Carreno,CO,75.78,heavy intensity rain,6.189,-67.4859,Casa Hotel Victoria
652,Durban,ZA,70.92,overcast clouds,-29.8579,31.0292,Hilton Durban
656,Kununurra,AU,93.18,clear sky,-15.7667,128.7333,Hotel Kununurra
659,Kantang,TH,78.91,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
