City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Shuya,RU,56.8487,41.3883,23.04,87,100,14.47,light snow
312,Aksarayskiy,RU,46.7924,48.0119,41.31,91,100,8.28,overcast clouds
313,Rajmahal,IN,25.05,87.8333,69.06,58,0,6.31,clear sky
314,Marsala,IT,37.7966,12.4352,66.94,86,6,16.71,clear sky
315,Cockburn Town,TC,21.4612,-71.1419,81.66,75,5,19.13,clear sky
316,Kapoeta,SS,4.7717,33.5903,76.53,63,37,4.16,light rain
317,Namatanai,PG,-3.6667,152.4333,84.92,61,40,8.59,scattered clouds
318,Muli,MV,2.9167,73.5667,81.88,78,100,16.08,overcast clouds
319,Ribeira Grande,PT,38.5167,-28.7,56.77,70,17,3.0,few clouds
320,Ulaangom,MN,49.9811,92.0667,20.34,91,100,6.78,light snow
321,Uralets,RU,57.6614,59.6497,-0.4,95,5,2.39,clear sky
322,Vostok,RU,46.4856,135.8833,28.62,92,100,1.61,snow
323,Tual,ID,-5.6667,132.75,81.82,80,100,9.86,overcast clouds
324,Saint-Louis,SN,16.3333,-15.0,82.76,18,24,9.71,few clouds
325,Nabire,ID,-3.3667,135.4833,83.25,75,100,2.17,overcast clouds
326,Tabas,IR,33.5959,56.9244,60.42,67,100,1.99,overcast clouds
327,Ventspils,LV,57.3894,21.5606,33.73,80,100,8.05,overcast clouds
328,Pahrump,US,36.2083,-115.9839,50.25,31,9,1.61,clear sky
329,Waipawa,NZ,-41.4122,175.5153,62.53,88,62,11.32,broken clouds
330,Uchkeken,RU,43.9378,42.5117,46.51,45,99,6.13,overcast clouds
331,Richmond,US,37.5538,-77.4603,37.65,75,0,6.91,clear sky
332,Anchorage,US,61.2181,-149.9003,35.56,78,35,4.0,scattered clouds
333,Antropovo,RU,58.3988,43.0066,18.0,83,64,11.52,broken clouds
334,Kisangani,CD,0.5167,25.2,68.22,99,100,1.92,light rain
335,Nuuk,GL,64.1835,-51.7216,22.87,79,100,11.99,overcast clouds
336,San Vicente,AR,-26.6167,-54.1333,60.55,69,0,3.11,clear sky
337,Malakal,SS,9.5334,31.6605,73.8,31,4,6.46,clear sky
338,Bukachacha,RU,52.9833,116.9167,20.37,77,100,2.21,overcast clouds
339,Itupiranga,BR,-5.1347,-49.3267,76.62,82,65,1.5,broken clouds
340,Bethel,US,41.3712,-73.414,37.76,63,0,6.91,clear sky
341,Tuatapere,NZ,-46.1333,167.6833,56.19,90,99,3.65,overcast clouds
342,Mersing,MY,2.4312,103.8405,78.57,87,100,4.21,heavy intensity rain
343,Coihaique,CL,-45.5752,-72.0662,53.55,94,100,4.61,light rain
344,Nyurba,RU,63.2842,118.3319,-18.02,96,14,4.27,few clouds
345,Moerai,PF,-22.4333,-151.3333,73.08,68,23,11.1,few clouds
346,Meulaboh,ID,4.1363,96.1285,77.76,83,100,2.93,overcast clouds
